cat1,cat2,cat3,brand,prediccion,customer_id,product_id
0,0,4,22,0.0025808432,10027,20609
0,0,4,22,0.0025808432,10031,20609
0,0,4,22,0.0025808432,10050,20609
0,0,4,22,0.0025808432,10057,20609
0,0,4,22,0.0025808432,10063,20609
0,0,4,22,0.0025808432,10065,20609
0,0,4,22,0.0025808432,10088,20609
0,0,4,22,0.0025808432,10090,20609
0,0,4,22,0.0025808432,10099,20609
0,0,4,22,0.0025808432,10103,20609
0,0,4,22,0.0025808432,10104,20609
0,0,4,22,0.0025808432,10117,20609
0,0,4,22,0.0025808432,10135,20609
0,0,4,22,0.0025808432,10145,20609
0,0,4,22,0.0025808432,10146,20609
0,0,4,22,0.0025808432,10147,20609
0,0,4,22,0.0025808432,10189,20609
0,0,4,22,0.0025808432,10193,20609
0,0,4,22,0.0025808432,10194,20609
0,0,4,22,0.0025808432,10196,20609
0,0,4,22,0.0025808432,10204,20609
0,0,4,22,0.0025808432,10205,20609
0,0,4,22,0.0025808432,10221,20609
0,0,4,22,0.0025808432,10238,20609
0,0,4,22,0.0025808432,10242,20609
0,0,4,22,0.0025808432,10256,20609
0,0,4,22,0.0025808432,10261,20609
0,0,4,22,0.0025808432,10269,20609
0,0,4,22,0.0025808432,10276,20609
0,0,4,22,0.0025808432,10281,20609
0,0,4,22,0.0025808432,10282,20609
0,0,4,22,0.0025808432,10290,20609
0,0,4,22,0.0025808432,10291,20609
0,0,4,22,0.0025808432,10293,20609
0,0,4,22,0.0025808432,10295,20609
0,0,4,22,0.0025808432,10300,20609
0,0,4,22,0.0025808432,10301,20609
0,0,4,22,0.0025808432,10314,20609
0,0,4,22,0.0025808432,10319,20609
0,0,4,22,0.0025808432,10320,20609
0,0,4,22,0.0025808432,10325,20609
0,0,4,22,0.0025808432,10354,20609
0,0,4,22,0.0025808432,10357,20609
0,0,4,22,0.0025808432,10358,20609
0,0,4,22,0.0025808432,10360,20609
0,0,4,22,0.0025808432,10398,20609
0,0,4,22,0.0025808432,10400,20609
0,0,4,22,0.0025808432,10417,20609
0,0,4,22,0.0025808432,10435,20609
0,0,4,22,0.0025808432,10440,20609
0,0,4,22,0.0025808432,10451,20609
0,0,4,22,0.0025808432,10460,20609
0,0,4,22,0.0025808432,10476,20609
0,0,4,22,0.0025808432,10514,20609
0,0,4,22,0.0025808432,10563,20609
0,0,11,22,0.0025808432,10001,20325
0,0,11,22,0.0025808432,10022,20325
0,0,11,22,0.0025808432,10023,20325
0,0,11,22,0.0025808432,10024,20266
0,0,11,22,0.0025808432,10031,20325
0,0,11,22,0.0025808432,10037,20503
0,0,11,22,0.0025808432,10038,20325
0,0,11,22,0.0025808432,10041,20503
0,0,11,22,0.0025808432,10044,20325
0,0,11,22,0.0025808432,10050,20503
0,0,11,22,0.0025808432,10053,20325
0,0,11,22,0.0025808432,10056,20325
0,0,11,22,0.0025808432,10059,20325
0,0,11,22,0.0025808432,10060,20325
0,0,11,22,0.0025808432,10076,20503
0,0,11,22,0.0025808432,10078,20266
0,0,11,22,0.0025808432,10091,20325
0,0,11,22,0.0025808432,10094,20503
0,0,11,22,0.0025808432,10095,20266
0,0,11,22,0.0025808432,10096,20325
0,0,11,22,0.0025808432,10099,20325
0,0,11,22,0.0025808432,10099,20503
0,0,11,22,0.0025808432,10100,20266
0,0,11,22,0.0025808432,10104,20325
0,0,11,22,0.0025808432,10109,20503
0,0,11,22,0.0025808432,10111,20266
0,0,11,22,0.0025808432,10111,20503
0,0,11,22,0.0025808432,10115,20325
0,0,11,22,0.0025808432,10122,20266
0,0,11,22,0.0025808432,10124,20325
0,0,11,22,0.0025808432,10124,20503
0,0,11,22,0.0025808432,10129,20325
0,0,11,22,0.0025808432,10130,20266
0,0,11,22,0.0025808432,10133,20266
0,0,11,22,0.0025808432,10134,20503
0,0,11,22,0.0025808432,10135,20325
0,0,11,22,0.0025808432,10138,20266
0,0,11,22,0.0025808432,10140,20266
0,0,11,22,0.0025808432,10140,20503
0,0,11,22,0.0025808432,10145,20325
0,0,11,22,0.0025808432,10150,20266
0,0,11,22,0.0025808432,10151,20503
0,0,11,22,0.0025808432,10155,20325
0,0,11,22,0.0025808432,10164,20266
0,0,11,22,0.0025808432,10164,20325
0,0,11,22,0.0025808432,10166,20266
0,0,11,22,0.0025808432,10172,20266
0,0,11,22,0.0025808432,10173,20325
0,0,11,22,0.0025808432,10181,20266
0,0,11,22,0.0025808432,10182,20325
0,0,11,22,0.0025808432,10183,20266
0,0,11,22,0.0025808432,10185,20266
0,0,11,22,0.0025808432,10188,20325
0,0,11,22,0.0025808432,10189,20266
0,0,11,22,0.0025808432,10190,20266
0,0,11,22,0.0025808432,10193,20266
0,0,11,22,0.0025808432,10193,20325
0,0,11,22,0.0025808432,10193,20503
0,0,11,22,0.0025808432,10197,20266
0,0,11,22,0.0025808432,10199,20503
0,0,11,22,0.0025808432,10204,20325
0,0,11,22,0.0025808432,10205,20503
0,0,11,22,0.0025808432,10208,20266
0,0,11,22,0.0025808432,10208,20325
0,0,11,22,0.0025808432,10208,20503
0,0,11,22,0.0025808432,10211,20503
0,0,11,22,0.0025808432,10212,20266
0,0,11,22,0.0025808432,10214,20325
0,0,11,22,0.0025808432,10221,20325
0,0,11,22,0.0025808432,10221,20503
0,0,11,22,0.0025808432,10222,20266
0,0,11,22,0.0025808432,10231,20325
0,0,11,22,0.0025808432,10237,20503
0,0,11,22,0.0025808432,10238,20266
0,0,11,22,0.0025808432,10243,20266
0,0,11,22,0.0025808432,10243,20325
0,0,11,22,0.0025808432,10243,20503
0,0,11,22,0.0025808432,10247,20266
0,0,11,22,0.0025808432,10251,20503
0,0,11,22,0.0025808432,10255,20266
0,0,11,22,0.0025808432,10261,20325
0,0,11,22,0.0025808432,10265,20266
0,0,11,22,0.0025808432,10267,20266
0,0,11,22,0.0025808432,10269,20503
0,0,11,22,0.0025808432,10271,20503
0,0,11,22,0.0025808432,10272,20266
0,0,11,22,0.0025808432,10281,20266
0,0,11,22,0.0025808432,10282,20325
0,0,11,22,0.0025808432,10282,20503
0,0,11,22,0.0025808432,10287,20503
0,0,11,22,0.0025808432,10288,20503
0,0,11,22,0.0025808432,10293,20325
0,0,11,22,0.0025808432,10300,20325
0,0,11,22,0.0025808432,10313,20503
0,0,11,22,0.0025808432,10314,20266
0,0,11,22,0.0025808432,10319,20503
0,0,11,22,0.0025808432,10320,20503
0,0,11,22,0.0025808432,10325,20325
0,0,11,22,0.0025808432,10333,20266
